solver,seed,instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,gap_10s,gap_30s,gap_60s,gap_120s,gap_300s,n_rounds
v10-T1,1,T1_1000_1000_1.wclq,1000,1000,10154,10154,10936,10490,0.03309,OK,-1,-1,-1,-1,-1,2
v10-T1,1,T1_1000_20000_0.wclq,1000,20000,408,470,1510,1197,1.546809,OK,1.546809,1.546809,1.546809,1.546809,-1,2
v10-T1,1,T1_1000_5000_8.wclq,1000,5000,2275,2545,4514,3602,0.415324,OK,0.415324,0.415324,0.415324,0.415324,-1,2
v10-T1,1,T1_100_1000_2.wclq,100,1000,101,122,209,203,0.663934,OK,0.663934,0.663934,0.663934,0.663934,-1,2
v10-T1,1,T1_100_100_5.wclq,100,100,1000,1000,1001,1001,0.001,OK,0.001,0.001,0.001,0.001,0.001,713
v10-T1,1,T1_100_100_7.wclq,100,100,1032,1032,1084,1059,0.026163,OK,-1,-1,-1,-1,-1,1
v10-T1,1,T1_150_150_5.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,-1,-1,-1,-1,-1,333
v10-T1,1,T1_150_250_3.wclq,150,250,1170,1171,1329,1242,0.060632,OK,0.060632,0.060632,0.060632,0.060632,-1,2
v10-T1,1,T1_150_500_5.wclq,150,500,538,570,746,688,0.207018,OK,0.207018,0.207018,0.207018,0.207018,-1,2
v10-T1,1,T1_200_250_2.wclq,200,250,1823,1828,1969,1898,0.038293,OK,0.038293,0.038293,0.038293,0.038293,-1,2
v10-T1,1,T1_200_500_7.wclq,200,500,1067,1099,1324,1214,0.104641,OK,0.104641,0.104641,0.104641,0.104641,-1,2
v10-T1,1,T1_250_3000_1.wclq,250,3000,193,223,505,425,0.90583,OK,0.90583,0.90583,0.90583,0.90583,-1,2
v10-T1,1,T1_250_500_3.wclq,250,500,1613,1625,1950,1789,0.100923,OK,0.100923,0.100923,0.100923,0.100923,-1,2
v10-T1,1,T1_250_500_7.wclq,250,500,1645,1685,1954,1817,0.078338,OK,0.078338,0.078338,0.078338,0.078338,-1,2
v10-T1,1,T1_250_500_8.wclq,250,500,1626,1665,2009,1818,0.091892,OK,0.091892,0.091892,0.091892,0.091892,-1,2
v10-T1,1,T1_250_750_1.wclq,250,750,1102,1140,1487,1331,0.167544,OK,0.167544,0.167544,0.167544,0.167544,-1,2
v10-T1,1,T1_300_2000_5.wclq,300,2000,493,571,1039,864,0.513135,OK,0.513135,0.513135,0.513135,0.513135,-1,2
v10-T1,1,T1_300_5000_3.wclq,300,5000,160,191,478,418,1.188482,OK,1.188482,1.188482,1.188482,1.188482,-1,2
v10-T1,1,T1_300_5000_4.wclq,300,5000,153,187,446,411,1.197861,OK,1.197861,1.197861,1.197861,1.197861,-1,2
v10-T1,1,T1_500_10000_4.wclq,500,10000,208,252,703,587,1.329365,OK,1.329365,1.329365,1.329365,1.329365,-1,2
v10-T1,1,T1_500_5000_3.wclq,500,5000,532,604,1293,1049,0.736755,OK,0.736755,0.736755,0.736755,0.736755,-1,2
v10-T1,1,T1_500_500_9.wclq,500,500,5164,5164,5585,5395,0.044733,OK,0.044733,0.044733,0.044733,0.044733,-1,2
v10-T1,1,T1_50_1000_7.wclq,50,1000,23,23,40,40,0.73913,OK,0.73913,0.73913,0.73913,0.73913,-1,2
v10-T1,1,T1_50_500_5.wclq,50,500,49,54,92,92,0.703704,OK,-1,-1,-1,-1,-1,1
v10-T1,1,T1_50_500_9.wclq,50,500,55,57,102,99,0.736842,OK,-1,-1,-1,-1,-1,1
v10-T1,1,T1_50_50_5.wclq,50,50,517,517,517,517,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T1,1,T1_50_50_7.wclq,50,50,503,503,503,503,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T1,1,T1_50_50_9.wclq,50,50,520,521,521,521,0.0,OPT,-1,-1,-1,-1,-1,144
v10-T1,1,T1_50_750_6.wclq,50,750,34,34,61,61,0.794118,OK,0.794118,0.794118,0.794118,0.794118,-1,2
v10-T1,1,T1_800_10000_2.wclq,800,10000,595,681,1744,1430,1.099853,OK,1.099853,1.099853,1.099853,1.099853,-1,2
v10-T1,1,T1_800_10000_7.wclq,800,10000,587,681,1781,1419,1.0837,OK,1.0837,1.0837,1.0837,1.0837,-1,2
v10-T1,1,T1_800_1000_3.wclq,800,1000,7189,7190,8344,7737,0.076078,OK,-1,-1,-1,-1,-1,2
v10-T1,1,T1_800_5000_1.wclq,800,5000,1430,1645,3089,2483,0.509422,OK,0.509422,0.509422,0.509422,0.509422,-1,2
v10-T1,2,T1_1000_10000_9.wclq,1000,10000,1053,1172,2795,2196,0.87372,OK,0.87372,0.87372,0.87372,0.87372,-1,2
v10-T1,2,T1_1000_15000_2.wclq,1000,15000,581,683,1968,1555,1.27672,OK,1.27672,1.27672,1.27672,1.27672,-1,2
v10-T1,2,T1_1000_20000_4.wclq,1000,20000,408,469,1514,1202,1.5629,OK,1.5629,1.5629,1.5629,1.5629,-1,2
v10-T1,2,T1_100_1000_3.wclq,100,1000,105,116,200,200,0.724138,OK,0.724138,0.724138,0.724138,0.724138,-1,2
v10-T1,2,T1_100_100_5.wclq,100,100,1000,1000,1001,1001,0.001,OK,0.001,0.001,0.001,0.001,0.001,715
v10-T1,2,T1_100_100_9.wclq,100,100,1036,1036,1091,1071,0.033784,OK,-1,-1,-1,-1,-1,1
v10-T1,2,T1_100_500_2.wclq,100,500,266,285,396,374,0.312281,OK,0.312281,0.312281,0.312281,0.312281,-1,2
v10-T1,2,T1_100_750_1.wclq,100,750,147,166,272,254,0.53012,OK,0.53012,0.53012,0.53012,0.53012,-1,2
v10-T1,2,T1_150_1000_6.wclq,150,1000,270,287,451,426,0.484321,OK,0.484321,0.484321,0.484321,0.484321,-1,2
v10-T1,2,T1_150_150_5.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,-1,-1,-1,-1,-1,333
v10-T1,2,T1_150_250_2.wclq,150,250,1149,1160,1315,1261,0.087069,OK,0.087069,0.087069,0.087069,0.087069,0.087069,2
v10-T1,2,T1_200_3000_0.wclq,200,3000,130,152,324,296,0.947368,OK,0.947368,0.947368,0.947368,0.947368,-1,2
v10-T1,2,T1_200_3000_5.wclq,200,3000,114,131,312,274,1.091603,OK,1.091603,1.091603,1.091603,1.091603,-1,2
v10-T1,2,T1_200_750_7.wclq,200,750,713,719,1001,902,0.25452,OK,0.25452,0.25452,0.25452,0.25452,-1,2
v10-T1,2,T1_250_1000_0.wclq,250,1000,819,902,1241,1109,0.22949,OK,0.22949,0.22949,0.22949,0.22949,-1,2
v10-T1,2,T1_250_250_3.wclq,250,250,2570,2570,2746,2658,0.034241,OK,0.034241,0.034241,0.034241,0.034241,-1,2
v10-T1,2,T1_250_3000_1.wclq,250,3000,193,222,505,425,0.914414,OK,0.914414,0.914414,0.914414,0.914414,-1,2
v10-T1,2,T1_250_5000_3.wclq,250,5000,117,137,346,298,1.175182,OK,1.175182,1.175182,1.175182,1.175182,-1,2
v10-T1,2,T1_250_500_1.wclq,250,500,1527,1598,1917,1778,0.112641,OK,0.112641,0.112641,0.112641,0.112641,-1,2
v10-T1,2,T1_250_500_7.wclq,250,500,1645,1675,1954,1817,0.084776,OK,0.084776,0.084776,0.084776,0.084776,-1,2
v10-T1,2,T1_250_500_8.wclq,250,500,1626,1664,2009,1818,0.092548,OK,0.092548,0.092548,0.092548,0.092548,-1,2
v10-T1,2,T1_300_2000_5.wclq,300,2000,493,563,1039,864,0.534636,OK,0.534636,0.534636,0.534636,0.534636,-1,2
v10-T1,2,T1_300_3000_8.wclq,300,3000,309,339,734,612,0.80531,OK,0.80531,0.80531,0.80531,0.80531,-1,2
v10-T1,2,T1_500_1000_6.wclq,500,1000,3246,3298,4046,3631,0.10097,OK,0.10097,0.10097,0.10097,0.10097,-1,2
v10-T1,2,T1_500_1000_9.wclq,500,1000,3245,3329,4108,3661,0.09973,OK,0.09973,0.09973,0.09973,0.09973,-1,2
v10-T1,2,T1_500_500_0.wclq,500,500,5152,5152,5887,5476,0.062888,OK,-1,-1,-1,-1,-1,2
v10-T1,2,T1_50_50_7.wclq,50,50,503,503,503,503,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T1,2,T1_50_750_6.wclq,50,750,34,34,61,61,0.794118,OK,0.794118,0.794118,0.794118,0.794118,-1,2
v10-T1,2,T1_800_0_2.wclq,800,799,8237,8237,9060,8641,0.049047,OK,-1,-1,-1,-1,-1,2
v10-T1,2,T1_800_0_4.wclq,800,799,8088,8088,9008,8499,0.050816,OK,-1,-1,-1,-1,-1,2
v10-T1,2,T1_800_10000_2.wclq,800,10000,595,689,1744,1406,1.040639,OK,1.040639,1.040639,1.040639,1.040639,-1,2
v10-T1,2,T1_800_10000_7.wclq,800,10000,587,683,1781,1410,1.064422,OK,1.064422,1.064422,1.064422,1.064422,-1,2
v10-T2,1,T2_1000_1000_0.wclq,1000,1000,1200,1200,1202,1200,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_1000_1000_1.wclq,1000,1000,1217,1217,1217,1217,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_1000_1000_2.wclq,1000,1000,1286,1286,1286,1286,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_1000_1000_3.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.000794,0.000794,0.000794,-1,-1,333
v10-T2,1,T2_1000_1000_4.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.000812,0.000812,0.000812,-1,-1,333
v10-T2,1,T2_1000_1000_5.wclq,1000,1000,1206,1207,1211,1207,0.0,OPT,0.000829,0.000829,-1,-1,-1,232
v10-T2,1,T2_1000_1000_6.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001597,0.001597,0.001597,-1,-1,333
v10-T2,1,T2_1000_1000_7.wclq,1000,1000,1198,1198,1199,1198,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_1000_1000_8.wclq,1000,1000,1253,1253,1253,1253,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_1000_1000_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.003165,0.001582,0.000791,-1,-1,333
v10-T2,1,T2_1000_15000_1.wclq,1000,15000,4316,4763,6393,5710,0.198824,OK,0.198824,0.198824,0.198824,0.198824,-1,2
v10-T2,1,T2_1000_15000_4.wclq,1000,15000,4704,5221,6622,5983,0.145949,OK,0.145949,0.145949,0.145949,0.145949,-1,2
v10-T2,1,T2_1000_15000_6.wclq,1000,15000,4620,5131,6684,5925,0.154746,OK,0.154746,0.154746,0.154746,0.154746,-1,2
v10-T2,1,T2_1000_15000_8.wclq,1000,15000,4648,4863,6069,5564,0.14415,OK,0.14415,0.14415,0.14415,0.14415,-1,2
v10-T2,1,T2_1000_20000_2.wclq,1000,20000,5501,6330,8472,7825,0.236177,OK,0.236177,0.236177,0.236177,0.236177,-1,2
v10-T2,1,T2_1000_5000_1.wclq,1000,5000,2757,2882,3299,3055,0.060028,OK,0.060028,0.060028,0.060028,0.060028,-1,2
v10-T2,1,T2_1000_5000_3.wclq,1000,5000,3073,3124,3627,3318,0.0621,OK,0.0621,0.0621,0.0621,0.0621,-1,2
v10-T2,1,T2_1000_5000_8.wclq,1000,5000,2813,2867,3321,3105,0.083014,OK,0.083014,0.083014,0.083014,0.083014,-1,3
v10-T2,1,T2_100_100_7.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,-1,-1,-1,-1,-1,333
v10-T2,1,T2_100_500_7.wclq,100,500,247,249,249,249,0.0,OPT,-1,-1,-1,-1,-1,146
v10-T2,1,T2_100_500_8.wclq,100,500,346,352,361,361,0.025568,OK,0.025568,0.025568,0.025568,0.025568,-1,2
v10-T2,1,T2_150_1000_2.wclq,150,1000,553,563,642,633,0.124334,OK,0.124334,0.124334,0.124334,0.124334,-1,2
v10-T2,1,T2_150_1000_6.wclq,150,1000,400,405,424,424,0.046914,OK,0.046914,0.046914,0.046914,0.046914,-1,2
v10-T2,1,T2_150_150_2.wclq,150,150,187,187,187,187,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_150_150_7.wclq,150,150,189,189,189,189,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_150_150_8.wclq,150,150,189,189,189,189,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_150_2000_2.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.009044,0.009044,0.009044,0.009044,-1,500
v10-T2,1,T2_150_250_4.wclq,150,250,226,227,228,227,0.0,OPT,-1,-1,-1,-1,-1,173
v10-T2,1,T2_150_250_8.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,-1,-1,-1,-1,-1,333
v10-T2,1,T2_150_3000_2.wclq,150,3000,591,613,696,696,0.1354,OK,0.1354,0.1354,0.1354,0.1354,-1,2
v10-T2,1,T2_150_500_7.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.002967,-1,-1,-1,-1,333
v10-T2,1,T2_150_750_7.wclq,150,750,366,366,379,379,0.035519,OK,-1,-1,-1,-1,-1,1
v10-T2,1,T2_200_1000_1.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.005445,-1,-1,-1,-1,333
v10-T2,1,T2_200_2000_4.wclq,200,2000,823,836,925,912,0.090909,OK,0.090909,0.090909,0.090909,0.090909,-1,2
v10-T2,1,T2_200_500_1.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.002994,0.002994,0.002994,-1,-1,500
v10-T2,1,T2_200_500_8.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.005602,-1,-1,-1,-1,333
v10-T2,1,T2_200_750_3.wclq,200,750,476,476,509,495,0.039916,OK,0.039916,0.039916,0.039916,0.039916,-1,2
v10-T2,1,T2_250_250_7.wclq,250,250,295,295,296,295,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_250_250_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.00303,-1,-1,-1,-1,333
v10-T2,1,T2_250_3000_2.wclq,250,3000,1014,1064,1226,1194,0.12218,OK,0.12218,0.12218,0.12218,0.12218,-1,2
v10-T2,1,T2_250_3000_3.wclq,250,3000,1255,1291,1500,1472,0.140201,OK,0.140201,0.140201,0.140201,0.140201,-1,2
v10-T2,1,T2_250_3000_5.wclq,250,3000,830,882,964,964,0.092971,OK,0.092971,0.092971,0.092971,0.092971,-1,2
v10-T2,1,T2_250_5000_0.wclq,250,5000,1242,1326,1557,1557,0.174208,OK,0.174208,0.174208,0.174208,0.174208,-1,2
v10-T2,1,T2_250_500_0.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.004673,-1,-1,-1,-1,333
v10-T2,1,T2_250_500_4.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.002137,-1,-1,-1,-1,333
v10-T2,1,T2_250_500_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.006276,-1,-1,-1,-1,333
v10-T2,1,T2_300_1000_2.wclq,300,1000,742,742,761,761,0.025606,OK,0.025606,0.025606,0.025606,0.025606,-1,2
v10-T2,1,T2_300_2000_7.wclq,300,2000,1004,1026,1138,1070,0.042885,OK,0.042885,0.042885,0.042885,0.042885,-1,2
v10-T2,1,T2_300_3000_7.wclq,300,3000,1034,1075,1193,1193,0.109767,OK,0.109767,0.109767,0.109767,0.109767,-1,2
v10-T2,1,T2_300_300_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.002427,-1,-1,-1,-1,333
v10-T2,1,T2_300_5000_4.wclq,300,5000,1200,1262,1454,1454,0.152139,OK,0.152139,0.152139,0.152139,0.152139,-1,2
v10-T2,1,T2_300_500_2.wclq,300,500,479,479,481,479,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_300_500_3.wclq,300,500,491,493,495,493,0.0,OPT,0.002033,-1,-1,-1,-1,265
v10-T2,1,T2_300_750_5.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001855,-1,-1,-1,-1,333
v10-T2,1,T2_300_750_6.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.008818,-1,-1,-1,-1,333
v10-T2,1,T2_500_10000_6.wclq,500,10000,2269,2505,2969,2940,0.173653,OK,0.173653,0.173653,0.173653,0.173653,-1,2
v10-T2,1,T2_500_1000_6.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.006501,0.005411,-1,-1,-1,333
v10-T2,1,T2_500_1000_7.wclq,500,1000,803,804,826,818,0.017413,OK,0.017413,0.017413,0.017413,0.017413,-1,2
v10-T2,1,T2_500_1000_8.wclq,500,1000,889,889,931,911,0.024747,OK,0.024747,0.024747,0.024747,0.024747,-1,2
v10-T2,1,T2_500_5000_4.wclq,500,5000,2245,2337,2861,2636,0.127942,OK,0.127942,0.127942,0.127942,0.127942,-1,2
v10-T2,1,T2_500_5000_6.wclq,500,5000,2107,2164,2576,2416,0.116451,OK,0.116451,0.116451,0.116451,0.116451,-1,2
v10-T2,1,T2_500_500_3.wclq,500,500,613,613,615,613,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_500_500_6.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.004831,0.004831,-1,-1,-1,333
v10-T2,1,T2_500_500_7.wclq,500,500,577,579,582,579,0.0,OPT,-1,-1,-1,-1,-1,170
v10-T2,1,T2_500_500_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001536,0.001536,-1,-1,-1,333
v10-T2,1,T2_50_250_0.wclq,50,250,196,200,215,215,0.075,OK,-1,-1,-1,-1,-1,1
v10-T2,1,T2_50_500_7.wclq,50,500,140,140,153,153,0.092857,OK,0.092857,0.092857,0.092857,0.092857,-1,2
v10-T2,1,T2_800_0_0.wclq,800,799,1024,1024,1024,1024,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_800_0_3.wclq,800,799,1018,1018,1018,1018,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_800_0_8.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.00101,0.00101,0.00101,-1,-1,333
v10-T2,1,T2_800_0_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001912,0.000955,0.000955,-1,-1,333
v10-T2,1,T2_800_10000_3.wclq,800,10000,3284,3624,4860,4292,0.184327,OK,0.184327,0.184327,0.184327,0.184327,-1,2
v10-T2,1,T2_800_1000_2.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001754,0.001754,0.001754,-1,-1,333
v10-T2,1,T2_800_1000_6.wclq,800,1000,1092,1092,1092,1092,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_800_1000_7.wclq,800,1000,1051,1051,1051,1051,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,1,T2_800_2000_1.wclq,800,2000,1629,1633,1797,1702,0.042254,OK,-1,-1,-1,-1,-1,2
v10-T2,1,T2_800_2000_5.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.007437,0.006757,0.006757,0.006757,-1,333
v10-T2,1,T2_800_5000_0.wclq,800,5000,2503,2567,3083,2808,0.093884,OK,0.093884,0.093884,0.093884,0.093884,-1,2
v10-T2,1,T2_800_5000_2.wclq,800,5000,2677,2801,3418,3102,0.107462,OK,0.107462,0.107462,0.107462,0.107462,-1,2
v10-T2,2,T2_1000_10000_2.wclq,1000,10000,4093,4500,5673,5094,0.132,OK,0.132,0.132,0.132,0.132,-1,2
v10-T2,2,T2_1000_1000_0.wclq,1000,1000,1200,1200,1202,1200,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_1000_1000_1.wclq,1000,1000,1217,1217,1217,1217,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_1000_1000_2.wclq,1000,1000,1286,1286,1286,1286,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_1000_1000_3.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.000794,0.000794,0.000794,-1,-1,333
v10-T2,2,T2_1000_1000_4.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.000812,0.000812,0.000812,-1,-1,333
v10-T2,2,T2_1000_1000_5.wclq,1000,1000,1206,1207,1211,1207,0.0,OPT,0.000829,0.000829,-1,-1,-1,240
v10-T2,2,T2_1000_1000_6.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001597,0.001597,0.000798,-1,-1,333
v10-T2,2,T2_1000_1000_7.wclq,1000,1000,1198,1198,1199,1198,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_1000_1000_8.wclq,1000,1000,1253,1253,1253,1253,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_1000_1000_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001582,0.000791,0.000791,-1,-1,333
v10-T2,2,T2_1000_15000_6.wclq,1000,15000,4620,5173,6684,5925,0.14537,OK,0.14537,0.14537,0.14537,0.14537,-1,2
v10-T2,2,T2_1000_20000_2.wclq,1000,20000,5501,6310,8472,7833,0.241363,OK,0.241363,0.241363,0.241363,0.241363,-1,2
v10-T2,2,T2_1000_5000_6.wclq,1000,5000,2920,3045,3619,3320,0.090312,OK,-1,-1,-1,-1,-1,0
v10-T2,2,T2_100_1000_5.wclq,100,1000,341,343,379,379,0.104956,OK,0.104956,0.104956,0.104956,0.104956,-1,2
v10-T2,2,T2_100_100_7.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,-1,-1,-1,-1,-1,333
v10-T2,2,T2_100_500_7.wclq,100,500,247,249,249,249,0.0,OPT,-1,-1,-1,-1,-1,143
v10-T2,2,T2_100_500_8.wclq,100,500,346,352,361,361,0.025568,OK,0.025568,0.025568,0.025568,0.025568,-1,2
v10-T2,2,T2_150_2000_2.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.009044,0.009044,0.009044,0.009044,-1,500
v10-T2,2,T2_150_500_7.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.002967,-1,-1,-1,-1,333
v10-T2,2,T2_200_1000_1.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.005445,-1,-1,-1,-1,333
v10-T2,2,T2_200_500_1.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.002994,0.002994,0.002994,-1,-1,527
v10-T2,2,T2_200_500_8.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.005602,-1,-1,-1,-1,333
v10-T2,2,T2_250_1000_4.wclq,250,1000,609,614,623,618,0.006515,OK,0.006515,0.006515,0.006515,0.006515,-1,2
v10-T2,2,T2_250_250_3.wclq,250,250,313,313,314,313,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_250_250_7.wclq,250,250,295,295,296,295,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_250_250_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.00303,-1,-1,-1,-1,333
v10-T2,2,T2_250_500_0.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.004673,-1,-1,-1,-1,333
v10-T2,2,T2_250_500_4.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.004283,-1,-1,-1,-1,333
v10-T2,2,T2_250_500_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.006276,-1,-1,-1,-1,333
v10-T2,2,T2_300_3000_9.wclq,300,3000,1332,1380,1612,1548,0.121739,OK,0.121739,0.121739,0.121739,0.121739,-1,2
v10-T2,2,T2_300_300_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.002427,-1,-1,-1,-1,333
v10-T2,2,T2_300_500_2.wclq,300,500,479,479,481,479,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_300_500_3.wclq,300,500,491,493,495,493,0.0,OPT,0.004073,-1,-1,-1,-1,340
v10-T2,2,T2_300_750_5.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001855,-1,-1,-1,-1,333
v10-T2,2,T2_300_750_6.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.008818,-1,-1,-1,-1,333
v10-T2,2,T2_500_10000_6.wclq,500,10000,2269,2496,2969,2940,0.177885,OK,0.177885,0.177885,0.177885,0.177885,-1,2
v10-T2,2,T2_500_1000_6.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.006501,0.005411,-1,-1,-1,333
v10-T2,2,T2_500_500_6.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.004831,0.004831,-1,-1,-1,333
v10-T2,2,T2_500_500_7.wclq,500,500,577,579,582,579,0.0,OPT,-1,-1,-1,-1,-1,158
v10-T2,2,T2_500_500_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001536,0.001536,-1,-1,-1,333
v10-T2,2,T2_50_500_1.wclq,50,500,223,223,223,223,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_50_500_6.wclq,50,500,86,86,86,86,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_800_0_0.wclq,800,799,1024,1024,1024,1024,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_800_0_8.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.00101,0.00101,0.00101,-1,-1,333
v10-T2,2,T2_800_0_9.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.001912,0.001912,0.000955,-1,-1,333
v10-T2,2,T2_800_1000_2.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.002634,0.002634,0.001754,-1,-1,333
v10-T2,2,T2_800_1000_6.wclq,800,1000,1092,1092,1092,1092,0.0,OPT,-1,-1,-1,-1,-1,1
v10-T2,2,T2_800_2000_5.wclq,0,0,0,0,0,0,-1.0,TIMEOUT,0.006757,0.006757,0.006757,0.006757,-1,333
v10-T2,2,T2_800_2000_7.wclq,800,2000,1491,1491,1586,1531,0.026828,OK,0.026828,0.026828,0.026828,0.026828,-1,2
